City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Bikin,RU,2021-12-18 00:17:49,46.8161,134.26,-12.53,96,92,2.64
164,Upernavik,GL,2021-12-18 00:17:49,72.7868,-56.1549,9.45,61,100,8.03
165,Sitka,US,2021-12-18 00:17:49,57.0531,-135.33,37.29,60,90,10.36
166,Haines Junction,CA,2021-12-18 00:17:50,60.7522,-137.5108,-5.85,77,100,1.14
167,Castro,BR,2021-12-18 00:17:50,-24.7911,-50.0119,65.48,96,71,10.92
168,Qarqin,AF,2021-12-18 00:17:51,37.4185,66.0436,47.43,18,96,21.16
169,Eshowe,ZA,2021-12-18 00:17:51,-28.8865,31.4699,54.79,91,100,5.17
170,Roma,US,2021-12-18 00:17:51,43.2128,-75.4557,37.83,77,1,3.44
171,Chimbote,PE,2021-12-18 00:14:55,-9.0853,-78.5783,67.55,85,13,9.44
172,Bubaque,GW,2021-12-18 00:17:52,11.2833,-15.8333,80.91,72,54,14.29
173,Yarada,IN,2021-12-18 00:17:52,17.65,83.2667,61.12,94,66,2.3
174,Agustin Codazzi,CO,2021-12-18 00:17:53,10.0341,-73.2361,82.71,56,100,3.24
175,Majene,ID,2021-12-18 00:17:53,-3.5403,118.9707,82.13,82,93,3.83
176,Bonavista,CA,2021-12-18 00:17:54,48.6499,-53.1147,36.12,94,100,38.21
177,Wuwei,CN,2021-12-18 00:18:54,37.9281,102.6414,20.14,47,56,3.8
178,Kayerkan,RU,2021-12-18 00:18:55,69.3497,87.7602,-34.62,94,30,2.91
179,Clyde River,CA,2021-12-18 00:18:55,70.4692,-68.5914,-12.73,97,100,8.59
180,Sharlyk,RU,2021-12-18 00:18:56,52.9167,54.75,29.98,98,100,3.85
181,Vostok,RU,2021-12-18 00:18:56,46.4856,135.8833,-16.53,95,100,3.98
182,Kaitangata,NZ,2021-12-18 00:18:56,-46.2817,169.8464,58.93,56,32,14.99
183,Nsanje,MW,2021-12-18 00:18:57,-16.92,35.262,73.24,96,100,5.75
184,Pantai Remis,MY,2021-12-18 00:18:57,4.4557,100.6288,77.02,96,100,5.61
185,Faanui,PF,2021-12-18 00:18:58,-16.4833,-151.75,81.64,68,33,13.0
186,Bukan,IR,2021-12-18 00:18:58,36.521,46.2089,36.77,99,100,2.3
187,Mayo,US,2021-12-18 00:18:58,38.8876,-76.5119,58.19,42,90,1.01
188,Sao Joao Da Barra,BR,2021-12-18 00:18:59,-21.6403,-41.0511,73.63,96,100,1.72
189,Kahului,US,2021-12-18 00:15:58,20.8947,-156.47,79.86,78,40,16.11
190,Bredasdorp,ZA,2021-12-18 00:18:59,-34.5322,20.0403,61.92,72,0,21.85
191,Geraldton,AU,2021-12-18 00:19:00,-28.7667,114.6,72.01,53,40,12.66
192,Fez,MA,2021-12-18 00:19:00,34.0372,-4.9998,42.91,75,0,4.61
193,La Ronge,CA,2021-12-18 00:19:00,55.1001,-105.2842,-10.95,77,1,2.3
194,Hastings,GB,2021-12-18 00:19:01,50.8552,0.5729,47.91,94,62,18.03
195,Kindu,CD,2021-12-18 00:19:01,-2.95,25.95,69.21,99,100,4.29
196,Alice Springs,AU,2021-12-18 00:19:02,-23.7,133.8833,98.15,14,43,0.0
197,Bam,IR,2021-12-18 00:19:02,29.106,58.357,50.05,24,46,2.3
198,Nouadhibou,MR,2021-12-18 00:19:03,20.931,-17.0347,62.58,88,25,12.66
199,Nelson Bay,AU,2021-12-18 00:19:03,-32.7167,152.15,88.29,64,53,9.19
200,Vila Franca Do Campo,PT,2021-12-18 00:19:04,37.7167,-25.4333,57.2,72,100,1.9
201,Gazli,UZ,2021-12-18 00:19:04,40.1333,63.45,41.18,29,90,14.38
202,Salina Cruz,MX,2021-12-18 00:19:05,16.1667,-95.2,82.17,65,0,0.94
203,Providencia,MX,2021-12-18 00:19:05,28.7167,-111.5833,75.25,38,3,10.0
204,Pangai,TO,2021-12-18 00:19:06,-19.8,-174.35,86.11,70,20,13.8
205,Touros,BR,2021-12-18 00:18:11,-5.1989,-35.4608,81.5,77,14,15.17
206,Port Hedland,AU,2021-12-18 00:19:06,-20.3167,118.5667,93.25,38,1,10.36
207,Korla,CN,2021-12-18 00:19:06,41.7597,86.1469,20.79,61,0,4.25
208,Saint George,US,2021-12-18 00:16:38,37.1041,-113.5841,45.95,50,1,4.0
209,Sayyan,YE,2021-12-18 00:19:07,15.1718,44.3244,47.66,32,0,1.07
210,Yar-Sale,RU,2021-12-18 00:19:07,66.8333,70.8333,-25.47,99,88,7.43
211,Tayshet,RU,2021-12-18 00:19:08,55.9342,98.0044,25.95,91,100,15.57
212,Ponta Do Sol,PT,2021-12-18 00:19:08,32.6667,-17.1,65.03,69,37,9.84
213,Samarai,PG,2021-12-18 00:19:09,-10.6167,150.6667,79.57,88,96,11.18
214,Humaita,BR,2021-12-18 00:19:09,-7.5061,-63.0208,74.21,98,100,1.95
215,Olafsvik,IS,2021-12-18 00:19:10,64.8945,-23.7142,40.73,80,100,3.91
216,Pavlohrad,UA,2021-12-18 00:19:10,48.5167,35.8667,34.75,82,100,13.87
217,Copala,MX,2021-12-18 00:19:10,16.65,-98.9833,78.98,73,15,5.12
218,Casper,US,2021-12-18 00:19:11,42.8666,-106.3131,12.72,81,90,3.0
219,Deputatskiy,RU,2021-12-18 00:19:11,69.3,139.9,-34.53,99,85,3.15
220,Dunedin,NZ,2021-12-18 00:19:11,-45.8742,170.5036,61.81,44,41,15.01
221,Karasjok,NO,2021-12-18 00:20:12,69.4719,25.5112,30.31,93,79,7.23
222,Ola,RU,2021-12-18 00:20:12,59.5833,151.2833,3.15,83,100,11.48
223,Bethel,US,2021-12-18 00:20:13,41.3712,-73.414,51.49,36,1,4.61
224,Dolores,AR,2021-12-18 00:20:13,-36.3132,-57.6792,62.58,82,95,6.15
225,Sabha,LY,2021-12-18 00:20:13,27.0377,14.4283,49.84,51,1,7.85
226,Dong Xoai,VN,2021-12-18 00:20:14,11.5333,106.9167,73.78,70,99,9.91
227,Muskego,US,2021-12-18 00:18:56,42.9058,-88.139,33.51,79,75,5.01
228,Qaqortoq,GL,2021-12-18 00:20:14,60.7167,-46.0333,12.7,65,1,7.63
229,Kloulklubed,PW,2021-12-18 00:20:15,7.0419,134.2556,84.7,76,76,12.71
230,Paamiut,GL,2021-12-18 00:20:15,61.994,-49.6678,10.69,68,0,10.87
231,Ribeira Brava,PT,2021-12-18 00:20:15,32.65,-17.0667,65.03,72,37,9.62
232,Axim,GH,2021-12-18 00:20:16,4.8699,-2.2405,79.66,84,39,8.16
233,Palmer,US,2021-12-18 00:20:16,42.1584,-72.3287,49.21,40,75,10.36
234,Kavieng,PG,2021-12-18 00:19:44,-2.5744,150.7967,82.98,76,100,4.63
235,Aykhal,RU,2021-12-18 00:20:17,66.0,111.5,-37.91,100,100,5.66
236,Nanortalik,GL,2021-12-18 00:20:17,60.1432,-45.2371,20.32,56,1,5.03
237,San Patricio,US,2021-12-18 00:20:17,28.017,-97.5169,76.05,82,100,15.43
238,Port Hardy,CA,2021-12-18 00:20:18,50.6996,-127.4199,39.76,93,90,28.77
239,Marechal Deodoro,BR,2021-12-18 00:20:18,-9.7103,-35.895,80.01,79,25,9.42
240,Fortuna,US,2021-12-18 00:20:19,40.5982,-124.1573,50.36,74,1,1.01
241,Beisfjord,NO,2021-12-18 00:20:19,68.3751,17.5988,43.05,98,100,11.5
242,Kishapu,TZ,2021-12-18 00:20:20,-3.6167,33.8667,69.76,75,99,3.58
243,Vanimo,PG,2021-12-18 00:20:20,-2.6741,141.3028,78.71,89,100,8.32
244,Te Anau,NZ,2021-12-18 00:20:21,-45.4167,167.7167,59.76,46,74,6.67
245,Kainantu,PG,2021-12-18 00:20:21,-6.2887,145.8655,67.21,87,100,2.26
246,Dwarka,IN,2021-12-18 00:20:21,22.2394,68.9678,67.71,41,0,17.83
247,Sorong,ID,2021-12-18 00:20:22,-0.8833,131.25,82.33,83,37,9.91
248,Lakes Entrance,AU,2021-12-18 00:20:22,-37.8811,147.981,79.16,37,99,6.04
249,Huarmey,PE,2021-12-18 00:20:22,-10.0681,-78.1522,69.31,82,6,11.05
250,Maniitsoq,GL,2021-12-18 00:20:23,65.4167,-52.9,19.18,63,88,10.0
251,Outram,MY,2021-12-18 00:20:23,1.2829,103.8379,82.33,85,75,0.0
252,Matara,LK,2021-12-18 00:20:24,5.9485,80.5353,76.44,88,100,1.45
253,Marawi,PH,2021-12-18 00:20:24,7.9986,124.2928,70.65,72,85,1.48
254,Isangel,VU,2021-12-18 00:18:31,-19.55,169.2667,82.51,78,90,6.91
255,Osoyoos,CA,2021-12-18 00:20:25,49.0331,-119.4524,24.39,63,100,2.3
256,Port Macquarie,AU,2021-12-18 00:20:25,-31.4333,152.9167,82.36,63,27,12.33
257,Aklavik,CA,2021-12-18 00:20:25,68.2191,-135.0107,-15.77,76,75,3.44
258,Rena,NO,2021-12-18 00:20:26,61.1348,11.3641,28.72,96,90,2.08
259,Hermanus,ZA,2021-12-18 00:20:26,-34.4187,19.2345,61.9,74,0,19.6
260,Beeville,US,2021-12-18 00:19:42,28.4008,-97.7483,75.34,83,1,9.22
261,Santana Do Livramento,BR,2021-12-18 00:20:27,-30.8908,-55.5328,68.58,73,20,13.69
262,Zhigansk,RU,2021-12-18 00:20:27,66.7697,123.3711,-36.26,100,99,2.82
263,Narsaq,GL,2021-12-18 00:20:28,60.9167,-46.05,12.42,61,0,8.28
264,Katsuura,JP,2021-12-18 00:20:28,35.1333,140.3,48.18,46,86,13.96
265,Padang,ID,2021-12-18 00:20:00,-0.9492,100.3543,73.45,96,100,6.46
266,San Francisco,US,2021-12-18 00:17:25,37.7749,-122.4194,56.08,71,20,1.01
267,Lastoursville,GA,2021-12-18 00:21:29,-0.8143,12.7287,71.78,97,89,2.1
268,Alofi,NU,2021-12-18 00:21:29,-19.0595,-169.9187,85.89,70,22,9.22
269,Saint-Pierre,RE,2021-12-18 00:21:30,-21.3393,55.4781,73.08,72,0,5.75
270,Araruama,BR,2021-12-18 00:21:30,-22.8728,-42.3431,74.95,94,68,5.35
271,Macas,EC,2021-12-18 00:20:08,-2.3167,-78.1167,68.49,98,91,2.39
272,Nago,JP,2021-12-18 00:21:31,26.5881,127.9761,61.65,62,87,15.12
273,Lakewood,US,2021-12-18 00:21:31,39.7047,-105.0814,37.8,30,7,1.01
274,Lompoc,US,2021-12-18 00:18:01,34.6391,-120.4579,63.57,70,1,5.75
275,Riesa,DE,2021-12-18 00:21:32,51.3,13.3,43.36,89,65,6.33
276,Ayan,RU,2021-12-18 00:21:32,56.45,138.1667,-7.01,70,100,9.91
277,Albanel,CA,2021-12-18 00:21:32,48.8832,-72.4487,24.94,63,88,18.41
278,Mogoytuy,RU,2021-12-18 00:21:33,51.2833,114.9167,-4.32,91,15,5.79
279,Santa Isabel Do Rio Negro,BR,2021-12-18 00:21:33,-0.4139,-65.0192,75.31,97,99,0.63
280,Visby,SE,2021-12-18 00:21:34,57.6409,18.296,41.22,81,90,9.22
281,Necochea,AR,2021-12-18 00:21:34,-38.5473,-58.7368,70.03,65,85,7.49
282,Muros,ES,2021-12-18 00:21:34,42.7762,-9.0603,50.23,73,0,5.17
283,Vokhtoga,RU,2021-12-18 00:19:13,58.8147,41.0461,13.48,98,95,4.61
284,Rio Grande,BR,2021-12-18 00:21:35,-32.035,-52.0986,69.94,77,54,15.48
285,Gavalou,GR,2021-12-18 00:21:35,38.5333,21.5333,46.54,78,32,4.63
286,Salalah,OM,2021-12-18 00:21:36,17.0151,54.0924,69.89,64,40,6.91
287,Cap Malheureux,MU,2021-12-18 00:21:36,-19.9842,57.6142,75.69,78,9,7.52
288,Kenai,US,2021-12-18 00:21:36,60.5544,-151.2583,19.49,93,90,5.75
289,Rehoboth,NA,2021-12-18 00:21:37,-23.3167,17.0833,66.0,35,50,6.04
290,Ancud,CL,2021-12-18 00:21:37,-41.8697,-73.8203,58.42,90,99,5.66
291,Mirabad,AF,2021-12-18 00:21:38,30.4362,61.8383,44.64,20,23,2.77
