City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
339,Pandan,PH,78.1,overcast clouds,14.0453,124.1694,Bonifacio Lodge
342,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
345,Lazaro Cardenas,MX,85.01,broken clouds,17.9583,-102.2,quinta antigua
350,Ankazoabo,MG,75.97,scattered clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
358,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
359,Karratha,AU,89.28,few clouds,-20.7377,116.8463,ibis Styles Karratha
361,Boa Vista,BR,87.78,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
363,Ondo,NG,77.09,clear sky,7.1,4.8333,Leisure Spring Hotel
367,Koumac,NC,77.65,few clouds,-20.5667,164.2833,Le Monitel
371,Tomatlan,MX,86.52,overcast clouds,19.9333,-105.25,El Salvial
377,Antalaha,MG,75.06,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
380,Axim,GH,80.62,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
385,Bom Jesus,BR,85.95,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
390,Promissao,BR,80.53,overcast clouds,-21.5367,-49.8581,Recanto Monte Cristo
391,Kupang,ID,79.38,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
394,Palauig,PH,78.73,overcast clouds,15.435,119.9045,Alperi Botique Resort
396,Boyolangu,ID,77.2,overcast clouds,-8.1181,111.8935,Yos ega cv
397,Innisfail,AU,77.27,overcast clouds,-17.5333,146.0333,Moondarra Motel
401,Puerto Cabello,VE,79.79,clear sky,10.4731,-68.0125,Hotel Cumboto
406,Auki,SB,77.54,overcast clouds,-8.7676,160.7034,Auki Motel
411,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
