City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Matveyevka,RU,52.15,56.1833,27.55,95,100,11.72,light snow
263,Upernavik,GL,72.7868,-56.1549,28.06,86,100,3.18,overcast clouds
264,Orange Cove,US,36.6244,-119.3137,58.44,48,2,1.9,clear sky
265,Bubaque,GW,11.2833,-15.8333,81.14,64,83,12.26,broken clouds
266,Belle Glade,US,26.6845,-80.6676,86.05,62,17,7.31,few clouds
267,Shestakovo,RU,56.4915,103.96,-32.71,100,17,1.81,few clouds
268,Imbituba,BR,-28.24,-48.6703,76.89,64,0,16.75,clear sky
269,Okha,RU,53.5739,142.9478,-7.94,88,24,12.91,few clouds
270,Riobamba,EC,-1.6667,-78.6333,55.22,68,93,3.78,light rain
271,Lata,PT,40.1629,-8.3327,59.92,64,100,10.42,overcast clouds
272,Mirabad,AF,30.4362,61.8383,56.55,19,58,4.45,broken clouds
273,Tilichiki,RU,60.4667,166.1,-19.1,97,54,6.49,broken clouds
274,Wilmington,US,34.2257,-77.9447,66.11,81,90,23.02,light rain
275,Puta,AZ,40.2967,49.6603,41.02,86,21,3.13,few clouds
276,Kaeo,NZ,-35.1,173.7833,57.33,96,1,2.82,clear sky
277,Dores Do Indaia,BR,-19.4633,-45.6017,75.74,79,69,6.26,broken clouds
278,Patnos,TR,39.2336,42.8634,30.56,83,80,4.94,broken clouds
279,Lorengau,PG,-2.0226,147.2712,81.18,83,38,10.47,scattered clouds
280,Batagay-Alyta,RU,67.8006,130.4114,-24.21,100,100,1.61,overcast clouds
281,Pocatello,US,42.8713,-112.4455,32.9,60,20,11.99,few clouds
282,Pevek,RU,69.7008,170.3133,-9.78,98,100,7.25,light snow
283,Ponta Do Sol,PT,32.6667,-17.1,68.0,89,97,15.57,overcast clouds
284,Tagusao,PH,9.1924,117.8141,79.3,82,100,2.44,overcast clouds
285,Chapais,CA,49.7834,-74.8492,2.98,77,92,7.11,overcast clouds
286,Ailigandi,PA,9.2333,-78.0167,82.8,78,81,7.14,broken clouds
287,Alekseyevka,RU,50.6309,38.6903,32.9,98,100,16.75,light snow
288,Salalah,OM,17.0151,54.0924,77.09,65,40,5.75,scattered clouds
289,Kosh-Agach,RU,50.0,88.6667,-1.23,74,95,3.31,overcast clouds
290,Nchelenge,ZM,-9.3451,28.734,70.7,81,53,2.44,broken clouds
291,Port-Gentil,GA,-0.7193,8.7815,82.36,83,40,8.05,light rain
292,Athabasca,CA,54.7169,-113.2854,4.82,86,89,12.77,overcast clouds
293,Broken Hill,AU,-31.95,141.4333,58.71,47,100,14.97,overcast clouds
294,Geraldton,AU,-28.7667,114.6,61.21,77,0,9.22,clear sky
295,Yulara,AU,-25.2406,130.9889,75.04,29,0,8.05,clear sky
296,Parabel,RU,58.6978,81.4825,-13.05,93,100,9.06,overcast clouds
297,Freetown,SL,8.484,-13.2299,83.91,74,75,5.75,haze
298,Taguatinga,BR,-12.3857,-46.5711,80.56,79,84,2.77,broken clouds
299,Belmonte,BR,-15.8631,-38.8828,82.4,71,96,7.92,heavy intensity rain
300,Bafia,CM,4.75,11.2333,76.93,41,5,2.93,clear sky
301,Bone,DE,51.9669,12.1396,45.28,83,100,11.97,overcast clouds
302,Dhidhdhoo,MV,6.8833,73.1,81.5,71,87,3.62,overcast clouds
303,Deputatskiy,RU,69.3,139.9,-42.36,98,90,5.88,overcast clouds
304,Vardo,NO,70.3705,31.1107,26.58,74,75,20.71,light snow
305,Kayerkan,RU,69.3497,87.7602,-33.48,96,31,2.73,scattered clouds
306,Usinsk,RU,65.9939,57.5281,-4.85,86,100,7.09,overcast clouds
307,Mackay,AU,-21.15,149.2,75.04,88,40,6.91,scattered clouds
308,Wexford,IE,52.3342,-6.4575,45.21,91,39,10.4,scattered clouds
309,Pimentel,PE,-6.8367,-79.9342,77.29,57,0,14.97,clear sky
